@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
128,121,24,33,104,0.240876,0.834483,0.785714,0.834483,0.214286,0.809365,0.546099,1.528079,0.478562
129,120,25,33,104,0.240876,0.827586,0.784314,0.827586,0.215686,0.805369,0.542553,1.525355,0.485743
130,120,25,32,105,0.233577,0.827586,0.789474,0.827586,0.210526,0.808081,0.539007,1.53539,0.499636
131,119,26,32,105,0.233577,0.82069,0.788079,0.82069,0.211921,0.804054,0.535461,1.532679,0.50816
132,118,27,32,105,0.233577,0.813793,0.786667,0.813793,0.213333,0.8,0.531915,1.529931,0.516954
133,117,28,32,105,0.233577,0.806897,0.785235,0.806897,0.214765,0.795918,0.528369,1.527146,0.525266
134,117,28,31,106,0.226277,0.806897,0.790541,0.806897,0.209459,0.798635,0.524823,1.537465,0.532374
135,117,28,30,107,0.218978,0.806897,0.795918,0.806897,0.204082,0.80137,0.521277,1.547924,0.533587
136,116,29,30,107,0.218978,0.8,0.794521,0.8,0.205479,0.797251,0.51773,1.545205,0.535425
137,115,30,30,107,0.218978,0.793103,0.793103,0.793103,0.206897,0.793103,0.514184,1.542449,0.546194
138,115,30,29,108,0.211679,0.793103,0.798611,0.793103,0.201389,0.795848,0.510638,1.553161,0.551773
139,114,31,29,108,0.211679,0.786207,0.797203,0.786207,0.202797,0.791667,0.507092,1.550422,0.554538
140,113,32,29,108,0.211679,0.77931,0.795775,0.77931,0.204225,0.787456,0.503546,1.547644,0.557218
141,112,33,29,108,0.211679,0.772414,0.794326,0.772414,0.205674,0.783217,0.5,1.544828,0.571251
142,111,34,29,108,0.211679,0.765517,0.792857,0.765517,0.207143,0.778947,0.496454,1.54197,0.573751
